,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926,138626.59974358926
1,139793.78493769778,139787.53025019052,139772.32309941153,139748.38359134385,139715.78610057823,139674.79994890012,139625.72678850798,139568.9526262711,139504.8866614401,139434.01897495936,139356.87571292697,139274.03857945232,139186.14102236927,139093.8557371741,138997.88019442905,138898.95126677665,138797.81188373806,138695.23160482536,138592.00133257054,138488.91405619244,138386.73431929474,138286.27058085572,138188.26688355595,138093.46494111267,138002.58287237634,137916.33723779788,137835.37977912955,137760.32060468136,137691.7292255023,137630.13592977947,137576.0052585491,137529.77473474076,137491.83417435878,137462.44129511766,137441.87972172248,137430.35188811074,137427.87089164348,137434.39778806694,137449.95076459015,137474.32596660114,137507.3338923607,137548.73525427686,137598.23840867574,137655.4343576946,137719.8717914768,137791.07313600773,137868.48568987663,137951.53651734546,138039.61383660624,138132.00146079212,138228.00774580025,138326.89698071705,138427.91095715,138530.28382368595,138633.23619301722,138735.98605522333,138837.78925239865,138937.8561380963,139035.49895855595,139129.99355395252,139220.59156881296,139306.55315929413,139387.2346934647,139462.03243409636,139530.34074977168,139591.65639762732,139645.56898004055,139691.60197642056,139729.41282623966,139758.74814820994,139779.34748894422,139791.0516229996
2,140927.90182186008,140915.5973589207,140885.40357490958,140837.58837568216,140772.52875415163,140690.77176839765,140592.89254109553,140479.5601560932,140351.6450825286,140210.0989179646,140056.01702576494,139890.5756443068,139715.07609883705,139530.82794483643,139339.27962665222,139141.77849053039,138939.7996265298,138734.87285737495,138528.55702232572,138322.43580881055,138118.0859888917,137917.05221201768,137720.88787366342,137531.07215276093,137349.09244480846,137176.32552350938,137014.08402888486,136863.6679348346,136726.23425054597,136602.82865108526,136494.35473755663,136401.84706336414,136326.1969330567,136267.80992442815,136226.97012121615,136204.0433416403,136199.16624851816,136212.59822812275,136244.12716003167,136293.4493397609,136360.08107863675,136443.48123472743,136542.92922140483,136657.6700863497,136786.8650888163,136929.57124775645,137084.697167587,137250.96996120468,137427.11501836384,137611.79399970736,137803.63361135247,138001.15580510796,138202.85174092636,138407.18639355476,138612.61757759046,138817.71068706922,139020.90981012536,139220.67289547564,139415.40691584026,139603.61640329036,139783.95208300333,139955.1790027199,140116.15405470776,140265.40115297958,140401.79787860723,140524.22987463052,140631.7736981593,140723.68631225373,140799.2079948012,140857.7820469705,140898.93295649815,140922.3618008109
3,142028.59364730972,142010.24749776,141965.12149786332,141893.65398007337,141796.284947716,141673.7354841429,141527.11943231948,141357.38303456112,141165.80286388664,140953.77835953402,140723.0689926461,140475.5739464464,140212.93873077852,139937.02625325872,139649.93728368028,139353.84178454013,139050.99363362373,138743.70780365285,138434.30536183118,138125.13351717885,137818.56273568337,137516.94753629394,137222.5653026355,136937.67950959684,136664.5260560607,136405.16997138356,136161.59253073574,135935.6836540183,135729.16546933595,135543.79255447243,135381.15532928696,135242.81246717734,135129.42401930605,135041.93560195903,134981.08779617204,134947.51970003487,134941.06845325374,134961.66215687135,135009.12246892773,135083.20897273198,135183.39080504296,135308.6829670255,135458.12223462533,135630.52873004513,135824.67677328712,136039.07363843214,136271.92870867794,136521.50399216884,136785.89924685095,137063.05484866287,137350.89940864942,137647.2321475855,137949.74366300306,138256.1772632906,138564.17420759905,138871.36305819874,139175.40461057393,139474.0387291585,139765.08379217712,140046.6718156449,140316.65673979349,140572.74081799705,140813.1435158279,141036.5493441599,141240.67923767038,141423.922163273,141584.92915831195,141722.49119508368,141835.58043600322,141923.28492109673,141984.93973283953,142020.13939336155
4,143095.41151026855,143071.02840288167,143011.02144846364,142915.79426674257,142786.1482262455,142623.06402648028,142427.99119207982,142202.30244491805,141947.5857803027,141665.7766394318,141359.24545831792,141029.92838756222,140680.20198679346,140312.7163848427,139930.23006370055,139535.63268854262,139131.93270553785,138722.21266127235,138309.61055639866,137897.28692526868,137488.71086603447,137087.15613145236,136695.22878285544,136315.884432318,135951.92251977106,135606.12991856574,135281.22511515007,134979.7903950964,134704.13463942992,134456.39244066106,134239.52477407586,134054.73663967144,133903.11217990072,133786.45120793435,133705.30721786342,133660.27438529694,133651.92201944048,133679.58829120322,133743.01329857597,133841.81184960215,133975.56344729493,134142.89426914652,134342.4222170804,134572.6273244836,134832.03404356158,135118.35176234553,135429.39476031766,135762.70648820233,136115.74205091535,136485.7176795864,136869.83518082194,137265.08810185568,137668.44426597774,138076.84899911354,138487.21297808964,138896.41070709866,139301.44708733694,139699.26659323517,140086.97917432734,140461.59325192,140820.16931390847,141160.65962375587,141480.15511727592,141776.81081952405,142047.9469578216,142291.32546008527,142505.2437620631,142688.06489083805,142838.42662285056,142955.07657326502,143037.1695794784,143084.0880367597
5,144128.0369190175,144097.48916756056,144022.51079604324,143903.86008716395,143742.410782955,143539.19503592644,143296.04990386535,143014.8608919247,142697.33710735675,142346.12053894738,141963.71140495382,141552.64138196572,141116.03829099328,140657.18589229631,140179.52967344748,139686.68126737105,139182.48307803314,138670.7155906486,138156.41059072025,137642.32806531954,137132.34483949273,136630.41239480913,136140.2691585014,135665.79858656778,135210.68634333758,134778.38162352456,134372.0851387217,133994.89008809946,133649.83346819849,133339.88133802984,133068.71130961212,132837.4439065875,132648.39344990038,132502.82303506092,132401.41472534146,132344.71821928,132333.0651396921,132366.49493652635,132445.8497241571,132569.6168158303,132736.82847608472,132946.67513768165,133197.162692147,133486.05275655162,133811.49865972207,134170.26774808374,134559.8855353554,134977.20017834465,135418.88884840516,135881.61159261188,136361.80991240215,136855.91729692795,137360.17537852188,137871.1228365771,138385.12917043013,138897.29292703833,139403.65160394946,139900.41272689798,140383.9466075869,140850.84864759288,141297.653471758,141721.42637944513,142119.51750919758,142488.94975702118,142827.02692767335,143130.16424420493,143396.14068659322,143623.06172772232,143809.22599049832,143953.38722096456,144055.5307312127,144113.9384093516
6,145126.13495680573,145089.38287184786,144999.86839889025,144857.9465898304,144664.7073373402,144421.8729830453,144131.14126953806,143794.59825939935,143414.37015033772,142994.13979153542,142536.3257737892,142044.1867728644,141521.29463092645,140971.53444113472,140399.23172614808,139808.60302495185,139204.9535320385,138592.9099951442,137976.27143820972,137359.71361229126,136747.96184603567,136145.9296326265,135557.89062128964,134988.3978322189,134441.98412697707,133922.8753493001,133435.21177440402,132982.1723746066,132567.35394821272,132194.81988115745,131869.04546959064,131591.43129379564,131364.74432399427,131189.5913060657,131067.12789202725,130998.81116018322,130984.74016818414,131025.10006765625,131119.3654198272,131267.57437870154,131469.69702109386,131722.9903321942,132024.9146259597,132372.58953260985,132763.66542496625,133194.9965905101,133663.09328234132,134164.2722106034,134694.66833342798,135250.1678414132,135826.60037312546,136420.16400240405,137026.65403709598,137640.1200139914,138255.95890594376,138869.76815683962,139476.82603298218,140072.29305992648,140651.54310493646,141210.21053258743,141744.51357099452,142250.76096323447,142726.49473342046,143167.94169858505,143572.61131626114,143935.49610785994,144253.8724266069,144525.60124951872,144748.7099571825,144921.10331917467,145041.70241212886,145109.79327372517
7,146090.23364079418,146046.93505416575,145942.6439330047,145777.57351014385,145553.1355420927,145270.7171752013,144932.37931677827,144540.9989442867,144099.39749575462,143610.9845814688,143078.2755145873,142505.2149742393,141896.07698070526,141255.69297407815,140588.67217616574,139901.16323482565,139198.7245677845,138485.7353422118,137767.13358649414,137049.67245729588,136337.81068910626,135636.5834081332,134951.2642945833,134286.94268025213,133648.97256766903,133042.23164737324,132471.92459700038,131942.62947617855,131457.64614291437,131022.03720275706,130641.0248053699,130316.98816761242,130051.96644094537,129847.34408280301,129704.25362321328,129623.58173593426,129606.59359400404,129653.94466031872,129765.33491679,129939.38118994176,130174.89236045525,130471.63188348418,130825.01499130225,131231.49039654835,131688.59442860802,132192.24784377427,132738.26480201713,133322.92032034294,133941.97399844675,134590.33012565415,135264.57218019268,135958.64347373912,136666.06963537185,137381.29663636102,138098.95524306962,138813.72998444838,139520.1559485549,140213.60339238995,140888.46599148482,141539.3886511786,142161.31325304386,142749.82939669874,143301.85331732093,143814.8144941457,144284.83813012295,144706.78684908655,145077.17327333908,145393.37809935008,145653.1767409122,145854.1448976286,145994.71898571993,146073.5947679198
8,147021.68110147494,146970.15481178925,146850.74428264194,146662.6803157458,146406.99453393483,146085.45163923287,145700.81246958693,145256.1496934402,144754.41797288487,144198.53516234542,143591.60735849128,142938.11288103482,142243.39935772403,141512.52583878554,140751.59750917088,139968.3026449965,139166.28835286494,138352.47589036322,137533.5006068428,136714.5918377774,135901.63962336097,135100.7869127736,134318.24801154007,133559.51943278575,132830.4519544073,132136.82584314677,131484.07318689564,130877.80973179142,130323.0110391832,129824.3219447883,129386.88710599793,129015.08484952235,128710.90627084213,128476.0126499784,128312.01882138412,128219.65223275985,128200.3404001403,128255.49654698785,128385.84094459366,128587.76305140115,128858.3619895618,129197.2193502556,129602.24478310914,130068.15518356649,130591.52352373481,131167.61990604506,131791.79032762954,132459.52813534273,133165.80381364332,133906.97855549367,134677.00849735536,135470.10610705812,136278.0513374521,137094.608821785,137913.7608690871,138729.199382834,139534.96204240192,140325.04089599187,141094.2014486515,141836.55403345893,142546.01882408196,143217.06276927554,143845.29526585544,144428.9516755964,144964.42085393684,145444.72462854953,145866.10971812884,146226.13405200816,146522.41044251315,146751.84806797132,146912.37340027269,147002.30192144154
9,147917.54998387027,147860.16450431693,147723.84279755002,147512.85526067106,147226.6518080608,146867.6164892381,146439.26249642167,145941.81324551554,145378.89244432581,144754.44168920006,144072.63344288454,143338.8334704707,142558.79001737322,141738.2289821558,140886.09233048186,140007.79041339608,139109.10746933802,138196.2238135394,137275.47570454495,136353.5212910731,135438.78952333823,134538.47616204715,133658.65285770127,132806.27087909222,131987.008369985,131206.81482435638,130472.18811021578,129788.74465399735,129163.12023750981,128601.59323842234,128108.61061918116,127688.56620083626,127343.52244927967,127077.12556988766,126891.24672990428,126787.50767482199,126769.68752218212,126834.76448350676,126982.4903896256,127210.79774829696,127517.1242392294,127898.3517346992,128355.53005920169,128881.56493978314,129471.59819660752,130120.28460504279,130822.90969290552,131574.06198288812,132369.57290660884,133204.29189078766,134069.248650564,134957.31879230725,135862.5108647128,136780.10448622587,137700.45330292266,138616.56071969148,139521.72882071367,140408.79829342148,141271.38730492195,142103.97312129545,142899.89437624984,143652.6580385918,144356.8886757716,145009.984126733,145610.01044584945,146148.69074673366,146621.12425198298,147024.40922187714,147356.2289989109,147613.95168224652,147794.27074308513,147895.45560531504
